iter	Passed	Remaining
0	0	93
1	1	89
2	2	86
3	3	83
4	4	80
5	5	79
6	5	76
7	6	74
8	7	75
9	8	73
10	8	71
11	9	71
12	10	69
13	11	68
14	11	67
15	12	65
16	13	64
17	13	63
18	14	62
19	15	63
20	16	62
21	17	62
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	54
32	26	53
33	26	51
34	27	51
35	28	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	47
41	33	45
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	52	25
67	53	25
68	54	24
69	55	23
70	56	22
71	57	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
